D,AGE,CH4
847.395,18223,382
848.985,18347.6,374
850.575,18516.6,405.7
850.905,18557.2,375
851.905,18666.4,385
851.935,18669.6,379.3
851.975,18673.9,368.4
854.515,18908.5,376
856.985,19089.4,375
858.575,19205.4,384
858.905,19229.1,393
861.905,19457.6,369.3
861.975,19462.7,359.2
864.985,19695.3,369
865.985,19773.9,366
866.655,19831.4,369
866.725,19837.4,374.3
868.935,20021.9,364.3
868.975,20025.1,366.8
869.985,20107.8,368
873.985,20482.2,373
875.905,20667.9,375.3
875.975,20675.2,380.3
876.905,20767,375.3
876.975,20773.9,363.4
879.985,21088.7,358
881.985,21297.7,362
883.905,21514,364
883.975,21522.1,367.9
886.89,21846.8,366.3
886.965,21855.3,360
887.985,21972.5,368
889.985,22193.5,373
890.905,22302.5,378.7
890.975,22310.8,377.8
892.905,22510.5,373
892.975,22517.3,379.3
894.985,22736.5,382
896.985,22937.8,394
899.905,23245.5,393
899.975,23252.4,394.7
902.905,23591.7,393.7
902.935,23595.8,399.3
902.975,23601.3,396.4
903.395,23675,402
905.985,24017.2,394
906.855,24141.9,384.3
906.975,24159.2,380.4
907.875,24292.4,387.8
907.935,24301.3,376.7
910.985,24602.2,380
912.985,24857.3,395
915.905,25181.6,375.7
915.975,25187.6,375.3
916.905,25264.1,369.7
916.975,25269.9,375.5
919.985,25612.1,376
922.985,25966,381
924.905,26221.2,364
924.975,26230.4,374.1
926.905,26390.8,373
926.975,26396.3,374
928.975,26665.7,365
929.925,26761.9,374
929.985,26768,378
931.905,26985.1,383.3
931.975,26991.3,380.6
933.905,27218,385.3
933.975,27227,372.7
934.985,27363,397
937.865,27639.8,418
937.895,27643.2,393
937.955,27650,408
937.985,27653.5,388
940.575,27874.2,431.9
940.905,27893.7,426
941.375,27916.3,378
941.905,27940.3,417
943.955,28178.8,372
943.985,28182.6,374
944.985,28257.4,388
949.89,28741.5,422.3
949.975,28750.2,427.6
952.925,28993,445.3
952.955,28994.6,444
952.985,28996.2,398
