D,AGE,CH4
1332.88,83891.5,635.219
1333,83944.2,600.438
1333.14,84003.2,536.692
1333.29,84062.2,472.601
1333.43,84121.2,455.672
1333.57,84180.2,484.376
1333.86,84298.2,518.241
1334,84357.3,530.537
1334.12,84414.8,513.035
1334.38,84529.9,476.527
1334.5,84587.4,447.969
1334.62,84645,436.73
1334.75,84702.5,433.492
1334.88,84760,435.878
1334.97,84806.1,459.1
1335.25,84936.3,440.113
1335.38,84995.6,439.076
1335.5,85055,436.623
1335.62,85114.4,432
1335.75,85173.7,420.726
1335.88,85233.1,416.637
1336.25,85410.2,428.553
1336.38,85469.1,440.984
1336.5,85527.9,442.364
1336.62,85586.8,438.583
1336.75,85645.7,436.37
1336.88,85704.5,433.996
1336.97,85751.6,438.1
1337,85763.4,429.926
1337.12,85824.4,429.51
1337.25,85885.5,434.624
1337.62,86068.5,437.531
1337.75,86129.6,436.135
1337.88,86190.6,437.051
1337.98,86244.3,445
1338,86251.6,436.483
1338.12,86314.1,429.818
1338.5,86501.6,426.48
1338.62,86564.1,430.515
1338.75,86626.6,435.557
1339.25,86888.4,438.19
1339.38,86956.8,440.009
1339.5,87025.1,441.124
1339.62,87093.5,439.433
1339.75,87161.9,438.748
1339.88,87230.2,443.412
1339.98,87290.4,453
1340,87298.6,451.812
1343.25,89347.4,460.619
1343.38,89426.6,466.658
1343.5,89505.8,472.214
1343.62,89585,479.187
1343.75,89664.2,481.316
1343.88,89743.5,476.483
1343.9,89762.5,515.7
1343.97,89806.8,497
1344,89822.7,466.488
1346.25,91090.6,452.909
1346.75,91368.9,443.225
1346.88,91438.4,440.058
1346.9,91455.1,455.3
1346.97,91494.1,447.1
1348.12,92112.3,436.206
1348.25,92179.3,427.501
1348.62,92380.3,419.064
1348.75,92447.3,416.573
1348.88,92514.2,417.67
1348.98,92573.2,442
1349,92581.2,421.402
1349.25,92713.4,428.295
1349.38,92779.4,433.517
1349.5,92845.5,436.538
1349.62,92911.6,438.332
1349.75,92977.6,437.514
1349.88,93043.7,436.61
1349.98,93101.8,430
1350.12,93174.6,436.812
1350.25,93239.4,437.293
1350.38,93304.2,438.206
1350.5,93369,440.936
1350.62,93433.8,446.619
1350.75,93498.6,448.85
1351.12,93690,440.665
1351.38,93813.6,430.442
1351.5,93875.4,433.769
1351.62,93937.2,449.086
1351.75,93999,457.324
1351.97,94110.2,435.6
1352.25,94242.3,448.087
1352.38,94302.1,432.72
1352.5,94362,425.488
1352.62,94421.8,425.885
1352.75,94481.7,427.434
1352.88,94541.5,429.442
1353,94601.4,432.911
1353.25,94721,433.572
1353.38,94780.8,430.651
1353.5,94840.6,430.421
1353.75,94960.2,431.758
1353.88,95020,431.016
1353.97,95067.9,441.2
1354,95079.8,432.458
1354.25,95196.4,436.498
1354.38,95254.7,440.689
1354.88,95487.8,451.105
1356.38,96192.5,472.046
1356.62,96306.8,492.921
1356.75,96364,497.526
1356.88,96421.1,483.94
1356.98,96471.4,488
1358.29,97074.4,476.774
1358.43,97143.3,470.17
1358.57,97212.1,474.518
1359.12,97475.5,481.216
1359.25,97532.4,485.31
1359.38,97589.3,484.017
1359.5,97646.2,475.203
1359.62,97703.1,468.186
1359.75,97760,476.484
1359.88,97816.9,495.224
1359.98,97867,510
1360.25,97994.2,506.944
1360.38,98054.5,507.545
1360.5,98114.7,506.126
1360.62,98174.9,508.095
1360.75,98235.2,514.368
1360.88,98295.4,524.354
1360.97,98343.6,501.6
1362.97,99313.4,525.1
1363.12,99386,532.503
1363.25,99446.6,532.918
1363.38,99507.2,525.464
1363.5,99567.7,516.268
1363.62,99628.3,512.474
1363.75,99688.9,515.028
1363.88,99749.4,522.063
1363.98,99802.7,552
1364.29,99956.4,530.651
1364.43,100030,535.212
1364.57,100103,535.827
1364.71,100176,539.695
1364.86,100249,545.685
1365,100322,544.956
1365.12,100385,537.508
1365.25,100448,529.577
1365.38,100511,526.962
1365.5,100573,529.709
1365.62,100636,530.318
1365.75,100699,528.893
1365.88,100762,531.541
1365.98,100817,549
1366,100824,539.306
1366.25,100945,548.951
1366.38,101006,551.879
1366.62,101127,544.064
1366.75,101188,533.888
1366.88,101248,529.246
1367,101309,524.893
1367.25,101424,511.139
1367.38,101481,491.91
1367.75,101654,476.593
1367.85,101700,579.1
1367.88,101712,469.753
1368,101769,475.96
1368.5,102026,486.56
1368.62,102090,482.967
1368.75,102154,468.199
1368.88,102218,463.713
1369.25,102425,476.584
1369.38,102496,490.285
1369.5,102567,489.914
1369.62,102638,485.19
1369.97,102838,485.3
1370,102852,496.435
1370.12,102930,522.846
1370.38,103086,543.799
1370.5,103164,550.618
1370.62,103242,552.84
1370.75,103319,555.425
1370.88,103397,557.451
1371,103475,569.646
1372.12,104238,595.984
1372.38,104403,617.961
1372.5,104486,628.685
1372.75,104652,634.033
1372.88,104735,625.757
1372.98,104807,645
1373.25,104990,604.789
1373.38,105076,593.723
1373.5,105162,601.027
1373.62,105248,611.223
1373.75,105334,612.715
1373.88,105420,608.712
1373.98,105496,622
1374,105506,603.726
1374.12,105598,596.287
1374.25,105689,585.747
1374.38,105780,579.132
1374.5,105872,581.493
1374.62,105963,585.957
1374.75,106054,580.928
1374.88,106146,556.605
1374.97,106219,613.8
1377.12,107802,512.026
1377.25,107921,492.442
1377.38,108039,488.729
1377.62,108275,485.748
1377.75,108394,484.61
1377.88,108512,488.713
1378.25,108886,494.944
1378.38,109014,503.044
1378.5,109141,513.8
1378.62,109269,526.032
1378.75,109397,535.498
1378.97,109627,545.1
1379.25,109900,536.818
1379.38,110023,530.546
1379.5,110147,520.858
1379.62,110270,511.624
1379.75,110393,507.839
1379.88,110517,508.171
1379.98,110626,486
1384.72,114622,485.6
1385.98,115571,508
1389.98,118079,588
1391.88,119183,582.8
1391.97,119242,580.6
1393.88,120369,596.5
1393.97,120428,603.6
1395.98,121617,612
1396.98,122191,622
1399.97,123833,628.8
1401.97,124888,663.1
1403.98,125935,663
1405.98,126882,682
1407.97,127694,714.9
1409.97,128430,716.3
1411.98,129099,567
1413.98,129816,532
1415.97,130620,530.3
1417.97,131593,483.6
1419.98,132810,459
1421.98,134418,426
1423.97,136359,367.9
1425.97,138847,366.6
1427.98,141338,351
1429.98,143655,375
1431.97,145899,399.5
1433.97,148203,395.1
1435.98,150479,425
1437.98,152616,443
